item_id	i_category	r_complement	r_substitute
18	45	[64, 213, 3500, 5582, 121, 909, 38, 482, 642, 22, 2080, 55, 937, 59, 1002, 113, 243, 483, 2918, 445, 458, 42, 112, 651, 17, 1199, 58, 54, 2751, 583, 843, 23, 851, 65, 4018, 988, 3764, 35, 108, 373, 8736, 8021, 192, 1317, 76, 484, 952, 37, 6284, 792, 842, 299, 2076, 60, 1309, 1227, 183, 485, 2853, 202, 229, 56, 190, 949, 4229, 300, 582, 3972, 1256, 224, 44, 114, 581, 785, 361, 1652, 486, 177, 21, 62, 66, 4581, 9111, 256, 2438, 487]	[]
14	45	[650, 8021, 8845, 2534, 6050, 3768, 2730, 4181, 17, 684, 2310, 107, 8613, 1033, 1889, 442, 1721, 3340, 78, 6890, 12, 819, 92, 1388, 767, 3972, 1238, 1331]	[]
16	45	[8021, 1766, 1227, 5925]	[]
23	45	[64, 213, 3500, 5582, 121, 206, 38, 482, 1289, 22, 642, 251, 55, 59, 113, 243, 2918, 95, 944, 42, 112, 651, 356, 102, 3610, 17, 1978, 61, 58, 54, 843, 1296, 1375, 988, 35, 8021, 192, 1317, 76, 484, 952, 18, 6284, 37, 792, 299, 2076, 60, 1309, 1227, 183, 100, 485, 3318, 202, 229, 56, 949, 92, 190, 4229, 582, 1256, 224, 2127, 44, 114, 2320, 830, 1745, 785, 1241, 298, 361, 6889, 5755, 2367, 486, 959, 4375, 177, 21, 66, 4581, 1240, 256, 487, 57]	[]
21	45	[64, 678, 213, 2534, 2335, 121, 909, 482, 55, 937, 59, 787, 3340, 2179, 113, 243, 483, 2918, 95, 944, 458, 42, 112, 651, 578, 102, 3610, 17, 1199, 61, 58, 54, 843, 583, 2751, 1889, 4759, 23, 65, 3764, 35, 1058, 8021, 192, 76, 952, 18, 792, 2228, 2730, 4181, 842, 1309, 60, 100, 1227, 183, 485, 314, 202, 229, 190, 92, 4229, 2351, 582, 1969, 2127, 509, 44, 979, 830, 245, 361, 1652, 486, 177, 66, 4581, 487, 215]	[]
22	45	[64, 213, 3500, 5582, 121, 206, 38, 482, 642, 251, 55, 59, 227, 787, 1002, 225, 3921, 113, 1083, 243, 2918, 95, 42, 651, 112, 2368, 102, 5267, 1978, 58, 843, 54, 2751, 2895, 3395, 23, 1375, 35, 8021, 2642, 192, 76, 484, 952, 18, 792, 6284, 1670, 60, 1227, 485, 3318, 202, 229, 56, 92, 4229, 3972, 582, 1256, 224, 44, 979, 114, 3067, 830, 1745, 298, 1241, 2622, 6889, 5755, 486, 980, 959, 4375, 177, 5265, 66, 4581, 1240, 256, 487, 57, 4840]	[]
20	45	[64, 95, 8021, 355, 213, 192, 358, 1291, 952, 114, 18, 71, 1434, 17, 58, 361, 583, 2016, 1227, 1002, 959, 921, 177, 62, 229, 225, 3016, 65, 1083, 5925, 57, 373, 243]	[]
24	45	[2548, 64, 8021, 5282, 3500, 2063, 484, 5322, 792, 18, 935, 836, 121, 1824, 1854, 785, 1793, 4988, 937, 628, 2076, 59, 2380, 204, 2860, 1227, 911, 6042, 959, 202, 3463, 5392, 2786, 1278, 5486, 6044, 111, 4229, 1329, 3723, 1325, 3410, 2438, 35, 487, 5489, 9460]	[]
25	0	[68, 77, 477, 4727, 335, 1119, 649, 350, 87, 86, 7772, 191, 1236, 109, 673, 3784, 347, 824, 45, 4567, 67, 353, 200, 34, 257, 1012, 1226, 828, 69, 329, 273, 75, 331, 674, 354, 8035, 1118, 94, 1067, 179, 32, 598, 39, 5112, 601, 47]	[]
42	45	[64, 213, 3500, 5582, 121, 909, 482, 38, 22, 892, 251, 55, 59, 227, 787, 1002, 113, 243, 2918, 944, 1489, 458, 112, 651, 102, 3610, 84, 1978, 58, 54, 843, 1296, 3395, 23, 1438, 35, 8021, 76, 484, 952, 18, 792, 6284, 842, 299, 1670, 1227, 183, 485, 3318, 202, 229, 1355, 949, 92, 4229, 582, 1256, 224, 2127, 44, 830, 1745, 298, 1241, 2622, 361, 6889, 5755, 486, 959, 4375, 184, 5265, 21, 66, 4581, 1240, 57, 4840, 215]	[]
33	45	[733, 8021, 460, 577, 932, 371, 747, 2803, 459, 13, 125, 656, 54, 676, 481, 1469, 841, 951]	[]
28	28	[]	[1811, 924, 925, 3486, 3067, 7250, 5840, 596, 4575, 1991, 5245, 130, 265, 1602, 5778, 6370, 867, 1053, 926, 597]
44	45	[64, 678, 185, 1723, 1437, 121, 909, 38, 482, 22, 685, 2601, 55, 59, 227, 1002, 677, 113, 243, 483, 2918, 458, 42, 112, 651, 1771, 1199, 58, 54, 843, 583, 418, 23, 35, 373, 5788, 8021, 2642, 192, 76, 484, 952, 18, 6284, 792, 2730, 842, 5242, 299, 6138, 2076, 60, 3703, 1227, 183, 100, 485, 202, 190, 949, 92, 4229, 587, 3972, 591, 347, 1256, 979, 581, 830, 808, 7641, 1652, 2367, 486, 980, 21, 62, 66, 4581, 1004, 2438, 256, 487, 57, 686, 70, 3082]	[]
30	28	[]	[4045, 249, 189, 254, 157, 1557, 130, 4030, 2347, 624]
37	0	[2918, 173, 8021, 192, 8097, 63, 1317, 6599, 2470, 2534, 484, 952, 114, 6284, 979, 581, 10223, 1005, 2427, 103, 785, 842, 444, 6138, 58, 59, 54, 1227, 183, 485, 2338, 980, 4759, 62, 4229, 988, 3723, 4581, 35, 256, 2438, 88, 3972]	[]
32	0	[68, 823, 77, 477, 3350, 335, 1119, 649, 350, 4223, 86, 87, 935, 349, 2248, 7772, 191, 1236, 109, 765, 673, 347, 824, 45, 4567, 67, 353, 200, 34, 257, 1226, 828, 69, 329, 273, 75, 674, 354, 94, 575, 179, 1394, 598, 39, 5112, 601, 47]	[]
41	0	[68, 477, 4727, 335, 1119, 649, 4223, 350, 87, 86, 935, 5112, 7772, 191, 386, 589, 765, 109, 673, 3784, 347, 824, 747, 45, 4567, 137, 67, 34, 826, 1226, 828, 69, 329, 273, 75, 674, 354, 8035, 2013, 94, 748, 1067, 179, 575, 598, 231, 389, 39, 388, 601, 47]	[]
35	0	[2918, 8021, 192, 4790, 1317, 484, 952, 114, 979, 6284, 3038, 1771, 206, 482, 2113, 1289, 785, 233, 842, 1672, 4695, 6138, 1712, 58, 59, 54, 843, 60, 360, 1227, 100, 183, 485, 980, 1295, 1438, 190, 4229, 4581, 256, 2438, 2555, 3972, 4840]	[]
38	45	[64, 213, 1723, 2530, 5582, 118, 7312, 121, 206, 909, 22, 103, 892, 2601, 2875, 59, 227, 1002, 3042, 243, 483, 2918, 2324, 3751, 42, 2368, 58, 54, 110, 3720, 6394, 4759, 23, 1375, 65, 988, 35, 308, 8021, 192, 1317, 76, 484, 952, 6284, 37, 18, 792, 842, 299, 2076, 1227, 183, 485, 4242, 202, 229, 1355, 4229, 300, 3972, 582, 2127, 44, 114, 979, 581, 785, 1218, 361, 2367, 486, 4403, 66, 4581, 1240, 256, 2438, 487]	[]
40	39	[68, 52, 477, 3350, 827, 47, 335, 203, 649, 340, 4223, 86, 87, 350, 336, 343, 935, 7772, 191, 43, 334, 893, 589, 1041, 338, 345, 239, 109, 765, 673, 3784, 347, 824, 204, 116, 576, 45, 4567, 342, 1406, 353, 479, 34, 257, 67, 200, 826, 1226, 828, 69, 2343, 820, 329, 273, 75, 674, 354, 96, 101, 575, 1067, 94, 32, 598, 39, 5112, 53, 601, 36]	[]
34	0	[68, 477, 3350, 335, 1119, 649, 4223, 350, 87, 86, 1109, 5112, 7772, 191, 440, 386, 589, 765, 109, 673, 3784, 347, 824, 4567, 67, 441, 200, 257, 826, 1226, 1012, 828, 69, 329, 273, 75, 674, 354, 94, 575, 1067, 179, 32, 598, 437, 439, 231, 39, 388, 53, 601, 47]	[]
39	0	[68, 477, 3350, 4727, 335, 1119, 649, 4223, 87, 86, 1109, 436, 7772, 440, 191, 589, 109, 765, 673, 3784, 347, 824, 45, 4567, 67, 353, 200, 34, 826, 1226, 828, 69, 329, 273, 75, 674, 354, 8035, 94, 575, 1067, 32, 598, 603, 5112, 601, 47]	[]
29	28	[267, 4575, 1811, 1147, 5348]	[]
36	39	[68, 52, 477, 827, 47, 335, 1119, 649, 340, 4223, 87, 86, 336, 350, 935, 7772, 191, 43, 334, 893, 589, 338, 1236, 239, 117, 109, 765, 345, 673, 3784, 347, 824, 204, 116, 45, 4567, 342, 67, 353, 200, 34, 826, 1226, 828, 69, 820, 329, 273, 75, 674, 40, 354, 8035, 101, 94, 1067, 32, 598, 389, 439, 39, 5112, 601, 479]	[]
45	39	[68, 477, 335, 1119, 350, 86, 87, 935, 5112, 7772, 191, 589, 1236, 109, 673, 3784, 824, 4567, 137, 67, 353, 200, 34, 1226, 329, 273, 75, 674, 354, 8035, 32, 598, 39, 347, 47]	[]
27	28	[102, 1672, 7637, 599, 7078]	[]
26	28	[666, 1269, 5124, 5442, 612, 3653, 4328, 7073, 1425, 156, 5970]	[]
43	39	[52, 68, 77, 115, 477, 827, 47, 335, 649, 340, 4223, 86, 87, 350, 336, 343, 935, 7772, 191, 334, 893, 589, 1041, 338, 1236, 239, 117, 109, 765, 673, 3784, 238, 347, 204, 116, 576, 45, 342, 137, 67, 353, 479, 34, 257, 1226, 329, 236, 470, 273, 75, 674, 40, 354, 101, 575, 1067, 179, 32, 598, 800, 39, 5112, 53, 36, 73]	[]
31	28	[]	[364, 1047, 2103]
46	28	[306, 1707, 3314, 634, 4476, 931, 5262, 268]	[]
47	0	[68, 477, 335, 1119, 649, 4223, 350, 87, 86, 935, 7772, 191, 589, 109, 765, 673, 3784, 347, 824, 45, 4567, 67, 353, 200, 34, 826, 1226, 1012, 828, 69, 329, 307, 273, 75, 674, 354, 8035, 94, 575, 1067, 32, 598, 439, 389, 39, 603, 5112, 53, 601]	[]
48	0	[2421, 4894, 1718, 772, 2454, 1779, 170, 142, 1107, 2708]	[]
49	0	[823, 559, 2534, 649, 350, 349, 673, 9741, 4567, 67, 1230, 329, 331, 646, 247, 179, 231, 437, 1026]	[]
52	39	[68, 77, 477, 3350, 827, 47, 335, 1119, 203, 649, 340, 4223, 87, 86, 336, 350, 935, 7772, 191, 43, 334, 893, 589, 338, 1236, 239, 117, 109, 765, 673, 3784, 238, 347, 824, 204, 116, 576, 45, 4567, 342, 67, 353, 479, 34, 1226, 828, 69, 329, 236, 273, 75, 674, 40, 354, 8035, 101, 96, 575, 1067, 94, 179, 32, 598, 235, 39, 5112, 53, 601, 36]	[]
51	39	[68, 52, 77, 827, 47, 335, 72, 340, 350, 86, 87, 336, 349, 7772, 191, 43, 334, 893, 1041, 338, 1236, 239, 345, 109, 117, 673, 347, 576, 45, 4567, 342, 137, 353, 479, 67, 1226, 820, 2314, 329, 236, 273, 75, 674, 40, 354, 8035, 101, 748, 32, 598, 603, 39, 5112, 601, 36]	[]
50	39	[52, 68, 477, 827, 47, 335, 1119, 203, 649, 340, 4223, 87, 86, 336, 350, 1188, 343, 935, 1109, 7772, 191, 43, 334, 552, 893, 589, 1041, 338, 1236, 239, 117, 109, 765, 673, 3784, 238, 347, 824, 204, 116, 576, 45, 4567, 342, 137, 353, 67, 34, 1226, 69, 329, 236, 273, 75, 674, 354, 40, 8035, 101, 94, 575, 1067, 32, 598, 800, 39, 5112, 53, 601, 36]	[]
60	0	[2918, 8021, 192, 1317, 2534, 484, 952, 114, 6284, 979, 1524, 1771, 206, 482, 1289, 4868, 2113, 785, 2553, 842, 765, 1672, 1712, 58, 59, 843, 54, 3703, 100, 1227, 183, 485, 980, 34, 1295, 1438, 329, 190, 4229, 988, 4581, 1004, 256, 35, 2555, 3972, 4840]	[]
54	0	[2918, 8021, 192, 1317, 952, 114, 6284, 979, 1771, 206, 482, 4868, 785, 2553, 842, 1672, 6138, 1712, 58, 59, 843, 60, 3703, 5561, 1227, 100, 183, 485, 980, 4759, 1552, 1295, 1438, 5317, 5392, 6664, 190, 4229, 988, 4581, 35, 256, 2438, 3972, 4840]	[]
63	0	[2918, 8021, 192, 6321, 1317, 1454, 9593, 484, 952, 114, 37, 6284, 1415, 581, 3406, 233, 5266, 1218, 58, 59, 54, 843, 1227, 485, 4759, 2934, 4229, 988, 1479, 4581, 1067, 35, 256, 3972, 1923]	[]
55	45	[64, 213, 2335, 121, 642, 22, 5299, 1628, 251, 59, 669, 787, 3340, 225, 9124, 1330, 1222, 113, 243, 2918, 95, 944, 458, 42, 356, 578, 2171, 102, 58, 54, 2380, 1191, 6260, 23, 65, 35, 1882, 8021, 1170, 2203, 76, 952, 18, 792, 6284, 2730, 71, 842, 1670, 360, 100, 1227, 485, 202, 229, 6022, 190, 92, 4229, 587, 582, 53, 2035, 2127, 44, 369, 125, 114, 979, 577, 785, 298, 3033, 361, 486, 959, 980, 1075, 184, 4429, 4124, 21, 983, 2688, 66, 256, 487]	[]
61	45	[2918, 8021, 388, 90, 719, 749, 2534, 700, 118, 952, 6284, 2602, 4181, 679, 6138, 58, 59, 54, 1227, 712, 660, 178, 674, 4229, 4581, 35, 256, 3972, 4840, 8290]	[]
56	45	[64, 678, 213, 3500, 5582, 6426, 121, 22, 1970, 1628, 251, 2601, 787, 116, 3041, 391, 3340, 3921, 3203, 1088, 1222, 113, 243, 483, 8445, 2918, 95, 944, 42, 112, 1729, 6387, 102, 1978, 3627, 61, 1296, 2895, 23, 8632, 35, 364, 373, 1882, 8021, 192, 907, 76, 952, 18, 6284, 2730, 2723, 299, 10013, 1227, 485, 2853, 2484, 202, 7206, 229, 949, 3296, 4229, 2172, 587, 582, 4535, 3972, 1256, 6825, 44, 90, 979, 5225, 2205, 298, 2622, 1241, 8617, 361, 2367, 486, 6425, 959, 980, 921, 177, 66, 4581, 1240, 2438]	[]
53	39	[68, 115, 477, 335, 649, 350, 4223, 86, 5112, 935, 7772, 191, 531, 1236, 765, 435, 673, 3784, 45, 67, 353, 34, 257, 1012, 1226, 826, 828, 329, 273, 75, 674, 331, 4099, 354, 731, 96, 1118, 575, 598, 437, 39, 347, 47]	[]
57	27	[64, 678, 213, 5582, 2534, 841, 206, 482, 22, 251, 59, 787, 5392, 677, 1222, 2179, 113, 243, 483, 2918, 95, 458, 112, 11, 1771, 102, 3610, 1199, 843, 54, 58, 2016, 23, 35, 2587, 373, 1798, 8021, 192, 907, 952, 6284, 18, 2228, 4868, 459, 842, 6138, 363, 60, 3703, 100, 1227, 485, 1552, 2484, 202, 229, 190, 4229, 587, 582, 1256, 1471, 2127, 369, 44, 114, 577, 298, 785, 3341, 361, 2367, 486, 959, 980, 177, 66, 74, 2438, 256, 487, 686, 468, 4840, 215]	[]
62	0	[2918, 8021, 445, 457, 192, 3693, 484, 952, 979, 37, 444, 1585, 58, 59, 54, 1227, 183, 485, 980, 441, 4229, 4581, 35, 256]	[]
59	0	[2918, 8021, 192, 4790, 1317, 484, 952, 114, 6284, 979, 1524, 3038, 1771, 206, 482, 2113, 4868, 1904, 785, 842, 1672, 4695, 6138, 1712, 58, 54, 843, 60, 3703, 1227, 100, 183, 485, 980, 1295, 1438, 190, 4229, 4581, 35, 256, 2438, 2555, 3972, 4840]	[]
64	45	[213, 3500, 5582, 2534, 6426, 121, 38, 22, 1970, 1628, 251, 59, 787, 116, 3041, 1533, 225, 4642, 1222, 113, 243, 483, 2918, 95, 944, 458, 13, 42, 112, 651, 2529, 6387, 102, 1978, 3627, 58, 54, 2895, 23, 35, 1882, 5269, 8021, 192, 907, 105, 76, 952, 6284, 18, 2723, 842, 10013, 1227, 2853, 2484, 202, 7206, 229, 56, 949, 4229, 582, 4535, 1969, 1256, 224, 2127, 5225, 2205, 2622, 1241, 298, 785, 8617, 361, 486, 6425, 959, 980, 177, 66, 4581, 1240, 8444, 57, 4840, 215]	[]
58	0	[2918, 8021, 4880, 192, 4790, 484, 952, 114, 6284, 979, 3038, 1771, 206, 482, 785, 233, 2553, 842, 765, 1672, 4695, 6138, 1712, 843, 59, 54, 60, 360, 1227, 100, 183, 485, 980, 34, 1295, 1438, 3029, 62, 329, 190, 4229, 4581, 3228, 35, 256, 2438, 2555, 3972, 4840]	[]
66	25	[64, 678, 185, 213, 5582, 1437, 121, 482, 38, 22, 685, 251, 55, 59, 787, 1002, 113, 243, 483, 2918, 95, 42, 112, 651, 2368, 2269, 102, 1323, 1199, 58, 54, 583, 843, 23, 851, 35, 373, 5788, 8021, 192, 76, 484, 952, 18, 792, 6284, 37, 842, 5242, 107, 1227, 183, 100, 485, 1552, 202, 229, 190, 4229, 3972, 591, 44, 979, 114, 581, 808, 7641, 2367, 486, 980, 959, 177, 1731, 3006, 62, 21, 4581, 2438, 487, 57, 70, 3082]	[]
65	45	[64, 678, 457, 2534, 118, 121, 38, 642, 251, 55, 2080, 937, 59, 227, 669, 787, 3340, 225, 6463, 1388, 1222, 113, 243, 483, 95, 944, 458, 1729, 578, 102, 17, 58, 54, 2751, 1817, 23, 851, 8024, 951, 35, 108, 88, 1909, 2502, 1882, 173, 8021, 907, 952, 18, 792, 2228, 2730, 4181, 299, 1227, 485, 3205, 202, 229, 4229, 587, 582, 1969, 2035, 5795, 2127, 369, 114, 5151, 4640, 2760, 361, 128, 1652, 486, 959, 980, 177, 21, 62, 111, 2078, 1240, 256, 686]	[]
67	0	[68, 77, 477, 3350, 335, 649, 86, 87, 935, 349, 1109, 7772, 191, 589, 1236, 109, 765, 673, 3784, 347, 824, 45, 4567, 137, 353, 200, 34, 1226, 69, 329, 273, 75, 674, 354, 8035, 96, 94, 575, 179, 32, 598, 39, 5112, 53, 601, 47]	[]
68	0	[477, 3350, 335, 1119, 649, 350, 4223, 87, 86, 935, 1109, 5112, 7772, 191, 589, 765, 109, 673, 3784, 347, 824, 4567, 67, 441, 200, 34, 353, 826, 1226, 828, 69, 329, 273, 75, 674, 354, 8035, 94, 575, 1067, 32, 598, 439, 603, 39, 388, 53, 601, 47]	[]
69	0	[68, 823, 77, 477, 3350, 335, 1119, 649, 4223, 350, 87, 86, 935, 1109, 7772, 191, 589, 109, 765, 673, 3784, 347, 3464, 824, 4567, 137, 67, 353, 34, 257, 826, 1226, 828, 1804, 329, 273, 75, 674, 354, 8035, 94, 575, 1067, 179, 32, 598, 39, 603, 2339, 5112, 601, 47]	[]
70	0	[8021, 4229, 1538, 2438, 979, 88, 3972, 1492]	[]
71	45	[64, 559, 355, 2642, 2127, 468, 213, 192, 44, 90, 5582, 2534, 6746, 76, 952, 114, 979, 5225, 552, 2529, 8843, 909, 642, 6292, 102, 785, 397, 55, 61, 299, 58, 54, 2196, 1514, 1309, 673, 361, 110, 3307, 2367, 20, 1227, 2538, 712, 391, 1190, 177, 184, 202, 3102, 3236, 2314, 229, 225, 2208, 2583, 2677, 75, 244, 3203, 4229, 2739, 300, 101, 66, 35, 256, 487, 113, 1909, 373, 243, 4840]	[]
72	39	[52, 68, 77, 477, 47, 335, 340, 350, 86, 87, 935, 349, 7772, 191, 43, 334, 893, 1041, 751, 1236, 673, 116, 576, 45, 4567, 137, 67, 353, 479, 34, 391, 1190, 200, 314, 1226, 820, 329, 3780, 273, 470, 75, 331, 40, 354, 6192, 8035, 101, 96, 179, 32, 598, 39, 320, 347, 53, 36, 73]	[]
73	39	[52, 68, 823, 77, 115, 477, 827, 47, 335, 203, 72, 649, 340, 4223, 86, 350, 336, 343, 935, 333, 7772, 191, 43, 334, 893, 1041, 117, 765, 4058, 673, 347, 824, 337, 116, 576, 342, 479, 34, 1012, 1226, 826, 828, 329, 470, 273, 75, 674, 331, 40, 354, 101, 575, 179, 598, 800, 235, 603, 39, 5112, 53, 36]	[]
74	45	[678, 841, 460, 3953, 2772, 251, 787, 1003, 2863, 1626, 3340, 676, 3220, 1893, 1222, 2918, 468, 371, 458, 13, 11, 201, 102, 838, 1313, 947, 418, 3479, 8021, 1170, 2754, 1371, 907, 952, 6284, 941, 2443, 459, 2718, 821, 6342, 1227, 152, 3639, 202, 4673, 226, 1742, 2680, 4229, 3669, 370, 1468, 97, 4292, 587, 1966, 582, 3931, 5795, 2100, 1471, 2127, 2711, 369, 1924, 125, 1562, 577, 3221, 298, 579, 1751, 2136, 878, 10020, 1469, 768, 959, 3572, 656, 6013, 3776, 3678, 686, 2300, 4840, 481]	[]
75	39	[68, 52, 559, 477, 3350, 827, 47, 335, 1119, 649, 340, 4223, 87, 86, 350, 935, 7772, 191, 43, 334, 386, 893, 589, 1041, 338, 117, 239, 345, 109, 765, 1458, 2471, 673, 3784, 824, 116, 45, 4567, 137, 67, 353, 479, 34, 200, 826, 1226, 828, 9903, 69, 9929, 329, 273, 674, 40, 354, 8035, 94, 1067, 32, 598, 439, 603, 39, 347, 601, 36]	[]
76	45	[64, 213, 3500, 1723, 5582, 121, 909, 38, 482, 642, 22, 892, 251, 55, 59, 787, 1002, 225, 3203, 113, 243, 483, 2918, 95, 42, 2182, 651, 112, 3204, 102, 653, 1712, 58, 54, 843, 583, 23, 1375, 5317, 35, 373, 8021, 2642, 192, 484, 952, 792, 18, 6284, 37, 299, 1309, 1227, 183, 100, 485, 202, 812, 229, 56, 949, 4229, 300, 582, 1256, 224, 2127, 44, 63, 5322, 298, 785, 486, 959, 980, 1926, 177, 21, 62, 1144, 66, 4581, 1240, 256, 2438, 487, 4840, 215]	[]
78	45	[1227, 6739, 766, 1434, 3340, 979, 1299, 4840, 1331]	[]
77	0	[68, 823, 115, 477, 335, 649, 350, 86, 87, 5112, 7772, 191, 386, 109, 765, 673, 3784, 824, 45, 4567, 137, 67, 353, 200, 34, 257, 1226, 69, 329, 273, 75, 674, 331, 354, 301, 575, 179, 32, 598, 439, 39, 1026, 347, 53, 601, 47]	[]
